Volcano Name,Volcano Code
Serdán-Oriental,SRO
Sergief,SEE
Serua,SER
Sessagara,SES
Sete Cidades,SEC
Seulawah Agam,SEA
Severny,SEV
Sharat Kovakab,SHK
Shasta,SHT
Shiga,SHI
Shikaribetsu Group,SHG
Shikotsu,SHO
Shiretoko-Iwo-zan,SII
Shiribetsu,SHR
Shirinki,SHN
Shishaldin,SHA
Shisheika,SHS
Shishel,SHH
Shiveluch,SHV
Shoshone Lava Field,SLF
Sibayak,SIB
Sibualbuali,SIU
Sikhote-Alin,SKA
Silali,SIL
Silay,SIA
Silver Lake,SLL
Silverthrone,SIV
Simbo,SIM
Sinabung,SIN
Sinarka,SIK
"Singüil, Cerro",SIC
Singu Plateau,SIP
Siple,SIE
Sirung,SIR
Slamet,SLA
Smirnov,SMI
Smith Rock,SMR
Smith Volcano,SMV
Snaefellsjokull,SNL
Snegovoy,SNG
Snezhniy,SNE
Snowy Mountain,SNM
Soche,SOH
Socompa,SOO
Socorro,SOC
Soda Lakes,SOL
Sodore,SOD
Sofugan,SOF
Sollipulli,SOU
"Solo, El",SOE
Soputan,SOP
Sorikmarapi,SOR
Sork Ale,SOA
Sotará,SOT
Soufrière Guadeloupe,SOG
Soufrière Hills,SFH
Soufriere St. Vincent,SSV
South Island,SOI
South Sister,SOS
Southern EPR-Segment I,SEH
Southern EPR-Segment J,SET
Southern EPR-Segment K,SEO
Spectrum Range,SCR
Spokoiny,SPO
Spurr,SPU
Squaw Ridge Lava Field,SRL
Srednii,SRE
St. Andrew Strait,SAS
St. Catherine,SHC
St. Helens,STH
St. Michael,STM
St. Paul,STP
St. Paul Island,SPI
Steller,STE
Stepovak Bay 2,SBT
Stepovak Bay 3,SBE
Stepovak Bay 4,SBP
Stromboli,STR
Sturge Island,STI
Suchitán,SUH
Suiyo Seamount,SIS
Sukaria Caldera,SUC
Sulu Range,SUR
Sumaco,SUA
Sumbing0601-18=,SU1
Sumbing0603-22=,SU2
Sumiyoshi-ike,SUM
Sundoro,SUN
Sunset Crater,SSC
Suoh,SUO
Supply Reef,SPR
Suretamatai,SUE
Suswa,SUS
Suwanose-jima,SUW
SW Usangu Basin,SUB
"Tôh, Tarso",THT
Taal,TAL1
Taapaca,TAA5
Table Top,TBT
Taburete,TAE1
Tacaná,TAÁ
Tacora,TAA4
Tafahi,TAH
Taftan,TAF
Tafu-Maka,TAM
Tahalra Volc Field,TVA
Tahual,TAL2
"Tair, Jebel at",TAJ
Tajumulco,TAO1
Takahara,TAA1
Takahe,TAE2
Takawangha,TAW
Takuan Group,TAG
Talagabodas,TAB
Talakmau,TAL
Talang,TAG1
Tambo Quemado,TAQ
Tambora,TAO
Tampomas,TAP
Tana,TAA3
Tanaga,TAA2
Tandikat,TAD
Tangaroa,TAN
Tangkubanparahu,TAK
Tao-Rusyr Caldera,TRC
"Tara, Batu",TRB
Tarakan,TAR
Taranaki [Egmont],TAE
Taryatu-Chulutu,TAC
Tat Ali,TAA
Tata Sabaya,TTS
Tate-yama,TAT
"Tatio, El",TTE
Tatun Group,TTG
Ta'u,TAU1
Taunshits,TAS
Taupo,TAU
Taveuni,TAV
Tavui,TAI
Teahitia,TEA
Tecapa,TEA1
Tecuamburro,TEU
Telica,TEI
Telomoyo,TEL
"Telong, Bur ni",TEB
Tendürek Dagi,TED
Tenerife,TEF
Tengchong,TEN
Tengger Caldera,TEC
Tenorio,TEO1
Teon,TEO
Tepi,TEP
Terceira,TEE
Terpuk,TER
Theistareykjarbunga,THE
Thompson Island,THI
Thordarhyrna,THO
Thule Islands,TLI
Tianshan Volc Group,TVG
Tiatia,TIA
Ticsani,TIS
Tidore,TID
Tigalalu,TIG
"Tigre, El",TIE
"Tigre, Isla el",TII
Tiho,TIH
"Tilaran, Cerro",TIC
Tilocalar,TIL
Tin Zaouatene Volc Field,TZV
Tinakula,TIN
Tindfjallajökull,TIF
Tinguiririca,TIU
Tipas,TIP
Titila,TIT
Tjörnes Fracture Zone,TFZ
Tlevak Strait-Suemez Is.,TSS
Toba,TOB
Tobaru,TOA
"Toconce, Cerro",TCC
"Tocorpuri, Cerros de",TPC
Todoko-Ranu,TDR
Todra Volc Field,TVF
Tofua,TOF
Tokachi,TOI1
Tolbachik,TOL
Tolguaca,TOA1
"Tolima, Nevado del",TMN
Tolimán,TOM
Tolmachev Dol,TOD
"Toluca, Nevado de",TLN
Tombel Graben,TOG
Tondano Caldera,TOC
Toney Mountain,TNM
Tongariro,TON
Tongkoko,TOK
Tore,TOR
Torfajökull,TOJ
Tori-shima,TOI
Toroeng Prong,TOP
Tortuga,TOU
Tosa Sucha,TOS
To-shima,TOH
"Toussidé, Tarso",TOT
Towada,TOW
Traitor's Head,TRH
Tralihue,TRA
Tres Virgenes,TRV
Tri Sestry,TRS
Trident,TRI
Trindade,TRE1
Tristan da Cunha,TSC
Trocon,TRN
"Trois Pitons, Morne",TPM
Trollagigar,TRL
Tromen,TRO
Tronador,TRD
Tseax River Cone,TRE
Tshibinda,TSH
Tskhouk-Karckar,TSK
Tsurumi,TSU
Tujle,TUJ
Tullu Moje,TUM
Tumble Buttes,TUB
Tungnafellsjökull,TUG
Tungurahua,TUN
Tunkin Depression,TUD
Tupungatito,TUP
Turfan,TUR
Turrialba,TUI
Tutuila,TUT
Tutupaca,TUU
Tuya Volc Field,TVU
"Tuzgle, Cerro",TUC
Tuzovsky,TUZ
Twin Buttes,TWB
Ubehebe Craters,UBC
Ubinas,UBI
Udina,UDI
Udokan Plateau,UDP
Ugashik-Peulik,UGP
Uinkaret Field,UIF
Uka,UKA
Ukinrek Maars,UKM
Uksichan,UKS
Ulawun,ULA
Uliaga,ULI
Ulreung,ULR
Umboi,UMB
"Umm Arafieb, Jebel",UAJ
Ungaran,UNG
Unnamed0104-04-,UN0104-04-
Unnamed0104-05-,UN0104-05-
Unnamed0201-201,UN0201-201
Unnamed0201-221,UN0201-221
Unnamed0201-251,UN0201-251
Unnamed0201-331,UN0201-331
Unnamed0202-162,UN0202-162
Unnamed0300-02-,UN0300-02-
Unnamed0300-04-,UN0300-04-
Unnamed0301-15-,UN0301-15-
Unnamed0302-00-,UN0302-00-
Unnamed0302-04-,UN0302-04-
Unnamed0305-01=,UN0305-01=
Unnamed0402-04=,UN0402-04=
Unnamed0403-001,UN0403-001
Unnamed0403-01=,UN0403-01=
Unnamed0403-011,UN0403-011
Unnamed0403-02=,UN0403-02=
Unnamed0403-03=,UN0403-03=
Unnamed0403-091,UN0403-091
Unnamed0500-03-,UN0500-03-
Unnamed0501-04=,UN0501-04=
Unnamed0502-001,UN0502-001
Unnamed0502-131,UN0502-131
Unnamed0505-061,UN0505-061
Unnamed0507-08-,UN0507-08-
Unnamed0508-03-,UN0508-03-
Unnamed0607-05=,UN0607-05=
Unnamed0704-05=,UN0704-05=
Unnamed0801-01=,UN0801-01=
Unnamed0801-011,UN0801-011
Unnamed0801-02=,UN0801-02=
Unnamed0801-03=,UN0801-03=
Unnamed0801-04=,UN0801-04=
Unnamed0804-101,UN0804-101
Unnamed0804-138,UN0804-138
Unnamed0804-139,UN0804-139
Unnamed0900-061,UN0900-061
Unnamed0900-13-,UN0900-13-
Unnamed0900-16-,UN0900-16-
Unnamed0900-23=,UN0900-23=
Unnamed1000-081,UN1000-081
Unnamed1000-085,UN1000-085
Unnamed1000-086,UN1000-086
Unnamed1000-101,UN1000-101
Unnamed1000-232,UN1000-232
Unnamed1000-263,UN1000-263
Unnamed1000-43-,UN1000-43-
Unnamed1004-04-,UN1004-04-
Unnamed1101-17-,UN1101-17-
Unnamed1102-132,UN1102-132
Unnamed1301-05-,UN1301-05-
Unnamed1302-08-,UN1302-08-
Unnamed1302-09-,UN1302-09-
Unnamed1303-061,UN1303-061
Unnamed1304-04-,UN1304-04-
Unnamed1304-05-,UN1304-05-
Unnamed1304-10-,UN1304-10-
Unnamed1305-02-,UN1305-02-
Unnamed1305-03-,UN1305-03-
Unnamed1401-008,UN1401-008
Unnamed1505-041,UN1505-041
Unnamed1505-161,UN1505-161
Unnamed1506-03=,UN1506-03=
Unnamed1506-04=,UN1506-04=
Unnamed1600-07=,UN1600-07=
Unnamed1707-01-,UN1707-01-
Unnamed1707-02-,UN1707-02-
Unnamed1801-02=,UN1801-02=
Unnamed1801-03=,UN1801-03=
Unnamed1801-04=,UN1801-04=
Unnamed1805-01=,UN1805-01=
Unnamed1805-02=,UN1805-02=
Unnamed1805-03=,UN1805-03=
Unnamed1805-04=,UN1805-04=
Unnamed1900-014,UN1900-014
Unnamed1900-016,UN1900-016
Unnamed1900-051,UN1900-051
Unzen,UNZ
Upolu,UPO
Urataman,URA
Ushishur,USH
Ushkovsky,USK
Usu,USU
Usulután,USL
Utila Island,UTI
Uturuncu,UTU
"Uwayrid, Harrat",UWH
Uzon,UZO
Vailulu'u,VAI
Vakak Group,VAG
"Valle, El",VAE
Valles Caldera,VAC
Vatnafjöll,VAT
Veer,VEE
Veniaminof,VEN
Verkhovoy,VEK
Vernadskii Ridge,VER
Vestmannaeyjar,VEM
Vesuvius,VES
Veteran,VET
Victory,VIC
Viedma,VIE
Villarrica,VIA
Vilyuchik,VIL
Visoke,VIS
Visokiy,VIO
Vitim Plateau,VIP
Volcano W,VOW
"Voon, Tarso",VOT
Voyampolsky,VOY
Vsevidof,VSE
Vulcano,VUC
Vulsini,VUL
Vysoky,VYS
Waesche,WAE
Waiowa,WAO
Wallis Islands,WLI
Wapi Lava Field,WLF
Washiba-Kumonotaira,WAK
Washington,WAS
"Watt, Morne",WAM
Wau-en-Namus,WAN
Wayang-Windu,WAW
Wells Gray-Clearwater,WGC
West Crater,WEC
West Eifel Volc Field,WEV
West Mata,WEM
Westdahl,WES
Whale Island,WAI
Whangarei,WHA
White Island,WHI
Wilis,WIL
Wolf,WOL
Wrangell,WRA
Wudalianchi,WUD
Wurlali,WUR
Xianjindao,XIA
Yake-dake,YAK
Yali,YAL
Yangudi,YAN
Yantarni,YAT
Yanteles,YAS1
"Yar, Jabal",YAJ
Yasur,YAS
Yate,YAE
Yavinsky,YAV
"Yeguada, La",YGL
Yelia,YEL
Yellowstone,YEO
Yersey,YER
"Yojoa, Lake",YOL
Yokoate-jima,YOK
Yomba,YOM
Yotei,YOT
Young Island,YOI
Yucamane,YUC
"Yumia, Cerro",YMC
Yunaska,YUN
"Zacate Grande, Isla",ZGI
Zao,ZAO
Zaozerny,ZAZ
Zapatera,ZAP
Zarechny,ZAR
Zavaritsky,ZAV
Zavaritzki Caldera,ZAC
Zavodovski,ZAD
Zealandia Bank,ZEB
Zengyu,ZEN
Zheltovsky,ZHE
Zhupanovsky,ZHU
Zimina,ZIM
Zitácuaro-Valle de Bravo,ZVB
Zubair Group,ZUG
Zukur,ZUK
Zuni-Bandera,ZUB
